file,code,error
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'xlrd' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'xlrd' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'pandas' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'tqdm' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'numpy' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'pyexcel' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'openpyxl' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'msoffcrypto' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0401, Unable to import 'xlsxwriter' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0601, Using variable 'append_zero' before assignment (used-before-assignment)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0602, Undefined variable 'date_parts' (undefined-variable)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0602, Undefined variable 'date_parts' (undefined-variable)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0602, Undefined variable 'date_parts' (undefined-variable)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_01_1.ipynb, E0602, Undefined variable 'date_parts' (undefined-variable)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'xlrd' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'xlrd' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'pandas' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'tqdm' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'numpy' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'pyexcel' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'openpyxl' (import-error)
C:\Users\Anatoly\Repos\Parsers\Parsers20152017\2015\New parser V3_2017_02_2.ipynb, E0401, Unable to import 'msoffcrypto' (import-error)
